1	702876	702977	[['Amrozi'], ['accused', 'called', 'distorting'], ['brother', 'witness', 'evidence']]	[['Amrozi'], ['accused', 'distorting'], ['brother', 'evidence']]
0	2108705	2108831	[['Yucaipa'], ['owned', 'selling'], ['Dominick', 'chain', 'Safeway']]	[['Yucaipa'], ['bought', 'sold'], ['Dominick', 'Safeway']]
0	3344667	3344648	[['Tab', 'shares'], ['were', 'having', 'set'], ['cents', '%', 'record', 'high']]	[['Tab', 'shares'], ['jumped', 'set', 'closing'], ['cents', '%', 'record']]
1	1236820	1236712	[['stock'], ['rose', 'close'], ['percent', 'Friday', 'New', 'York', 'Stock', 'Exchange']]	[['PG&E', 'Corp.', 'shares'], ['jumped'], ['percent', 'New', 'York', 'Stock', 'Exchange', 'Friday']]
1	738533	737951	[['Revenue', 'quarter', 'year'], ['dropped'], ['percent', 'period', 'year']]	[['quarter', 'year'], ['dropped'], ['percent', 'period', 'year']]
0	264589	264502	[['Nasdaq'], ['had', 'closing'], ['gain', 'percent', 'Friday']]	[['Nasdaq', 'Composite', 'IXIC'], ['rallied'], ['points', 'percent']]
1	579975	579810	[['DVD-CCA'], ['appealed'], ['state', 'Supreme', 'Court']]	[['DVD', 'CCA'], ['appealed'], ['decision', 'U.S.', 'Supreme', 'Court']]
0	222621	222514	[['Shares', 'Genentech', 'company', 'products', 'market'], ['rose'], ['percent']]	[['Shares', 'Xoma'], ['fell', 'were'], ['percent', 'trade', 'shares', 'Genentech', 'company', 'products', 'market', 'percent']]
0	3131772	3131625	[['Legislation', 'consumers', 'debts', 'bankruptcy', 'court'], ['won'], ['House', 'approval', 'March']]	[['Legislation', 'consumers', 'debts', 'bankruptcy', 'court'], ['won', 'was', 'endorsed'], ['House', 'approval', 'March', 'White', 'House']]
0	58747	58516	[['Nasdaq', 'index'], ['increased'], ['percent']]	[['Nasdaq', 'Composite', 'index', 'technology', 'stocks'], ['was'], ['points']]
0	142746	142671	[['Gyorgy', 'Heizler', 'head', 'disaster', 'unit'], ['said', 'was', 'carrying'], ['coach', 'passengers']]	[['head', 'disaster', 'unit', 'Gyorgy', 'Heizler'], ['said', 'had', 'failed', 'heed'], ['coach', 'driver', 'stop', 'lights']]
0	1286053	1286069	[['Rudder'], ['was'], ['vice', 'president', 'Developer', 'Platform', 'Evangelism', 'Business']]	[['Vice', 'President', 'Eric', 'Rudder', 'head', 'Developer', 'Platform', 'Evangelism', 'unit'], ['lead'], ['entity']]
0	1563874	1563853	[['chaos'], ['has', 'allowed', 'engage', 'logging'], ['companies', 'fishing', 'operations', 'monitoring', 'export', 'controls']]	[['chaos'], ['has', 'allowed', 'set', 'logging'], ['companies', 'fishing', 'operations', 'monitoring', 'export', 'controls']]
0	2029631	2029565	[['Magnarelli'], ['said', 'hated', 'looked', 'using'], ['Racicot', 'regime', 'years', 'training', 'war']]	[['wife'], ['said', 'was', 'looked', 'using'], ['percent', 'George', 'Bush', 'years', 'training', 'war']]
1	2150265	2150184	[['Sheena', 'Young', 'Child', 'infertility', 'support', 'network'], ['hoped', 'lead'], ['guidelines', 'service', 'infertility', 'sufferers']]	[['Sheena', 'Young', 'spokesman', 'Child', 'infertility', 'support', 'network'], ['said', 'proposed', 'lead'], ['guidelines', 'service', 'infertility', 'sufferers']]
1	1284150	1284173	[['Finder'], ['puts', 'providing'], ['user', 'folders', 'drive', 'network', 'servers', 'iDisk', 'media', 'location', 'access']]	[['Panther', 'Finder', 'navigation'], ['tool'], ['puts'], ['user', 'folders', 'drive', 'network', 'servers', 'iDisk', 'media', 'location']]
1	3270389	3270327	[['storm', 'warnings', 'watches'], ['were', 'posted'], ['today', 'Haiti', 'portions', 'Dominican', 'Republic', 'Bahamas', 'Turk', 'Caicos', 'islands']]	[['storm', 'warnings'], ['were'], ['place', 'Thursday', 'Jamaica', 'Haiti', 'watches', 'Dominican', 'Republic', 'Bahamas', 'Turks', 'Caicos', 'islands']]
