1	702876	702977	[['Amrozi'], ['accused', 'called', 'distorting'], ['brother', 'witness', 'evidence']]	[['Amrozi'], ['accused', 'distorting'], ['brother', 'evidence']]
0	2108705	2108831	[['Yucaipa'], ['owned', 'selling'], ['Dominick', 'chain', 'Safeway']]	[['Yucaipa'], ['bought', 'sold'], ['Dominick', 'Safeway']]
1	1330381	1330521	[[], ['added'], []]	[['ship', 'owners'], ['had', 'published', 'offering'], ['advertisement', 'Internet', 'explosives', 'sale']]
0	3344667	3344648	[['Tab', 'shares'], ['were', 'having', 'set'], ['cents', '%', 'record', 'high']]	[['Tab', 'shares'], ['jumped', 'set', 'closing'], ['cents', '%', 'record']]
1	1236820	1236712	[['stock'], ['rose', 'close'], ['percent', 'Friday', 'New', 'York', 'Stock', 'Exchange']]	[['PG&E', 'Corp.', 'shares'], ['jumped'], ['percent', 'New', 'York', 'Stock', 'Exchange', 'Friday']]
1	738533	737951	[['Revenue', 'quarter', 'year'], ['dropped'], ['percent', 'period', 'year']]	[['quarter', 'year'], ['dropped'], ['percent', 'period', 'year']]
0	264589	264502	[['Nasdaq'], ['had', 'closing'], ['gain', 'percent', 'Friday']]	[['Nasdaq', 'Composite', 'IXIC'], ['rallied'], ['points', 'percent']]
1	579975	579810	[['DVD-CCA'], ['appealed'], ['state', 'Supreme', 'Court']]	[['DVD', 'CCA'], ['appealed'], ['decision', 'U.S.', 'Supreme', 'Court']]
0	3114205	3114194	[[], ['compared'], ['cents', 'share', 'period']]	[['Earnings'], ['were', 'affected'], ['tax', 'benefit', 'period']]
1	1355540	1355592	[[], ['said', 'does', 'fit'], ['foodservice', 'pie', 'business', 'company', 'growth', 'strategy']]	[['foodservice', 'pie', 'business'], ['does', 'fit'], ['growth', 'strategy']]
0	222621	222514	[['Shares', 'Genentech', 'company', 'products', 'market'], ['rose'], ['percent']]	[['Shares', 'Xoma'], ['fell', 'were'], ['percent', 'trade', 'shares', 'Genentech', 'company', 'products', 'market', 'percent']]
0	3131772	3131625	[['Legislation', 'consumers', 'debts', 'bankruptcy', 'court'], ['won'], ['House', 'approval', 'March']]	[['Legislation', 'consumers', 'debts', 'bankruptcy', 'court'], ['won', 'was', 'endorsed'], ['House', 'approval', 'March', 'White', 'House']]
0	58747	58516	[['Nasdaq', 'index'], ['increased'], ['percent']]	[['Nasdaq', 'Composite', 'index', 'technology', 'stocks'], ['was'], ['points']]
1	1464126	1464107	[[], ['added', 'improve'], ['group', 'performance', 'half', 'year']]	[['De', 'Sole'], ['said', 'improve'], ['results', 'statement', 'group', 'performance', 'half', 'year']]
1	771416	771467	[[], ['told', 'had', 'decided', 'ask'], ['Sun', 'newspaper', 'Mr.', 'Hussein', 'daughters', 'schools', 'hospitals', 'mind', 'asylum']]	[[], ['told'], ['Sun']]
0	142746	142671	[['Gyorgy', 'Heizler', 'head', 'disaster', 'unit'], ['said', 'was', 'carrying'], ['coach', 'passengers']]	[['head', 'disaster', 'unit', 'Gyorgy', 'Heizler'], ['said', 'had', 'failed', 'heed'], ['coach', 'driver', 'stop', 'lights']]
0	1286053	1286069	[['Rudder'], ['was'], ['vice', 'president', 'Developer', 'Platform', 'Evangelism', 'Business']]	[['Vice', 'President', 'Eric', 'Rudder', 'head', 'Developer', 'Platform', 'Evangelism', 'unit'], ['lead'], ['entity']]
0	1563874	1563853	[['chaos'], ['has', 'allowed', 'engage', 'logging'], ['companies', 'fishing', 'operations', 'monitoring', 'export', 'controls']]	[['chaos'], ['has', 'allowed', 'set', 'logging'], ['companies', 'fishing', 'operations', 'monitoring', 'export', 'controls']]
0	2029631	2029565	[['Magnarelli'], ['said', 'hated', 'looked', 'using'], ['Racicot', 'regime', 'years', 'training', 'war']]	[['wife'], ['said', 'was', 'looked', 'using'], ['percent', 'George', 'Bush', 'years', 'training', 'war']]
1	2150265	2150184	[['Sheena', 'Young', 'Child', 'infertility', 'support', 'network'], ['hoped', 'lead'], ['guidelines', 'service', 'infertility', 'sufferers']]	[['Sheena', 'Young', 'spokesman', 'Child', 'infertility', 'support', 'network'], ['said', 'proposed', 'lead'], ['guidelines', 'service', 'infertility', 'sufferers']]
0	2044342	2044457	[[], ['said', 'adding', 'replace', 'lost'], ['growth', 'jobs']]	[[], ['think', 'see'], ['lot', 'job', 'growth', 'years']]
1	1284150	1284173	[['Finder'], ['puts', 'providing'], ['user', 'folders', 'drive', 'network', 'servers', 'iDisk', 'media', 'location', 'access']]	[['Panther', 'Finder', 'navigation'], ['tool'], ['puts'], ['user', 'folders', 'drive', 'network', 'servers', 'iDisk', 'media', 'location']]
1	3270389	3270327	[['storm', 'warnings', 'watches'], ['were', 'posted'], ['today', 'Haiti', 'portions', 'Dominican', 'Republic', 'Bahamas', 'Turk', 'Caicos', 'islands']]	[['storm', 'warnings'], ['were'], ['place', 'Thursday', 'Jamaica', 'Haiti', 'watches', 'Dominican', 'Republic', 'Bahamas', 'Turks', 'Caicos', 'islands']]
1	2294059	2294112	[['magistrate', 'Fort', 'Lauderdale'], ['ordered', 'held'], ['bail']]	[['Zuccarini'], ['was', 'ordered', 'held'], ['bail', 'Wednesday', 'judge', 'Fort', 'Lauderdale', 'Fla.']]
0	1713015	1712982	[['BMI'], ['is', 'considered', 'is', 'considered'], []]	[]
0	487993	487952	[['dollar'], ['was'], ['yen', 'yen', 'session', 'franc']]	[['dollar'], ['was'], ['yen', 'JPY', 'session', 'franc', 'CHF', 'percent']]
1	1321918	1321644	[['IMF', 'Argentina'], ['struck', 'expires'], ['debt', 'rollover', 'deal', 'August']]	[['sides'], ['managed', 'strike', 'expires'], ['debt', 'rollover', 'deal', 'August']]
1	1239046	1239031	[['children'], ['tend', 'be', 'approach'], ['people', 'objects', 'situations', 'children']]	[['invividuals'], ['tend', 'be'], ['people', 'situations']]
1	2907515	2907224	[[], ['said'], ['Sunday', 'Grand', 'Central', 'concourse']]	[['Tunick'], ['said'], ['Sunday']]
0	2791650	2791604	[['SPX'], ['fell'], ['points', 'percent']]	[['S&P', 'index'], ['was', 'sinking'], ['percent', 'yesterday']]
0	2559762	2559517	[['Duque'], ['return'], ['Earth', 'Oct.', 'station', 'crew', 'U.S.', 'astronaut', 'Ed', 'Lu', 'Russian', 'cosmonaut', 'Yuri', 'Malenchenko']]	None
1	105493	105432	[['Singapore'], ['is', 'totaling'], ['United', 'States', 'trading', 'partner', 'trade']]	[['Singapore'], ['is'], ['trading', 'partner', 'United', 'States', 'trade', 'volume', 'year']]
1	1989515	1989458	[['AFL-CIO'], ['is', 'waiting', 'decide', 'endorse'], ['October', 'candidate']]	[['AFL-CIO'], ['announced', 'decide', 'endorse'], ['Wednesday', 'October', 'candidate', 'primaries']]
0	1783137	1782659	[['dates'], ['have', 'been', 'set'], ['trial']]	[]
1	14663	14617	[['gains'], ['were', 'seen'], ['prices', 'orders', 'inventories', 'exports']]	[['Sub-indexes', 'prices', 'orders', 'inventories', 'exports'], ['increased'], []]
1	1692902	1692851	[]	[['New', 'York', 'Stock', 'Exchange'], ['suspended', 'closed'], ['trading', 'yesterday', 'Loral', 'Friday']]
0	1480561	1480670	[['Earnings', 'share', 'operations'], ['be'], ['cents', 'cents']]	[[], ['beat'], ['company', 'April', 'earnings', 'forecast', 'cents', 'share']]
1	3089434	3089441	[[], ['plans', 'have'], ['dinner', 'troops', 'Kosovo', 'U.S.', 'headquarters', 'Camp', 'Bondsteel']]	[[], ['plans', 'have', 'stationed'], ['dinner', 'Camp', 'Bondsteel', 'U.S.', 'troops']]
1	2538111	2538021	[['Retailers', 'J.C.', 'Penney', 'Co.', 'Inc.', 'JCP', 'Walgreen', 'Co.', 'WAG'], ['kick'], ['things', 'Monday']]	None
1	1341941	1341915	[['Prosecutors'], ['filed', 'informing', 'intend', 'seek'], ['motion', 'Lee', 'death', 'penalty']]	[[], ['added', 'seek'], ['prosecutors', 'death', 'penalty']]
1	374967	375017	[['court'], ['upheld', 'ruling', 'are', 'provide'], ['Cleveland', 'school', 'voucher', 'program', 'vouchers', 'parents', 'choice', 'schools']]	[['court'], ['ruled', 'are', 'provide'], ['Ohio', 'case', 'government', 'vouchers', 'parents', 'choices', 'range', 'schools']]
0	2321401	2321455	[[], ['beat', 'had', 'spread'], ['cancer', 'lungs', 'brain']]	[['Armstrong'], ['battled', 'spread'], ['cancer', 'brain']]
1	1356545	1356676	[['Sorkin', 'charges', 'conspiracy', 'justice', 'jury'], ['was', 'have', 'been', 'tried'], []]	[['Sorkin'], ['was', 'have', 'been', 'tried', 'lying'], ['charges', 'conspiracy', 'jury']]
0	2198036	2198094	[['Graves'], ['reported'], ['Albuquerque', 'Villafranca', 'Austin', 'Ratcliffe', 'Laredo']]	[['Pete', 'Slover'], ['reported'], ['Laredo', 'Gromer', 'Jeffers', 'Albuquerque']]
1	921159	921272	[['US', 'chip', 'market'], ['is', 'expected', 'decline', 'grow'], ['percent', 'year', 'percent']]	[['Americas', 'market'], ['decline', 'grow'], ['percent', 'percent']]
